item_id,category,category_name,short_text,full_text,r2_n,r2_mean,r2_sd,r2_cv,r2_iqr,r2_consensus,r3_mean,r3_sd,r3_cv,r3_consensus,final_status
A1,A,Macroeconomic Feature Requirements,NGN/USD exchange rate as ML feature,The NGN/USD exchange rate should be included as a predictive feature in the iNHCES model,20,6.35,0.6708,10.56,1.0,True,,,,,consensus_r2
A2,A,Macroeconomic Feature Requirements,CPI inflation rate as ML feature,The CPI/inflation rate (annual %) should be included as a predictive feature in the model,20,6.4,0.5026,7.85,1.0,True,,,,,consensus_r2
A3,A,Macroeconomic Feature Requirements,Brent crude oil price as ML feature,Brent crude oil price (USD/barrel) should be included as a predictive feature in the model,20,6.0,0.8584,14.31,1.25,True,,,,,consensus_r2
A4,A,Macroeconomic Feature Requirements,GDP growth rate as ML feature,Nigeria's GDP growth rate (annual %) should be included as a predictive feature,20,5.1,0.8522,16.71,1.0,True,,,,,consensus_r2
A5,A,Macroeconomic Feature Requirements,Lending rate as ML feature,The commercial lending interest rate should be included as a predictive feature,20,4.2,1.0052,23.93,1.25,False,5.0,0.7947,15.89,True,consensus_r3
A6,A,Macroeconomic Feature Requirements,Live macro data (not static),"The iNHCES system should use live, automatically updated macroeconomic data, not static historical tables",20,6.0,0.6489,10.81,0.0,True,,,,,consensus_r2
A7,A,Macroeconomic Feature Requirements,Weekly or more frequent macro data refresh,Macroeconomic features in the model should be refreshed at least once per week automatically,20,5.8,1.0052,17.33,2.0,True,,,,,consensus_r2
B1,B,Project Characteristic Features,Gross floor area (sqm) — mandatory,Gross floor area in square metres (sqm) should be a mandatory input feature for every estimate,20,6.5,0.513,7.89,1.0,True,,,,,consensus_r2
B2,B,Project Characteristic Features,Number of storeys — mandatory,Number of building storeys (above ground) should be a mandatory input feature,20,6.25,0.6387,10.22,1.0,True,,,,,consensus_r2
B3,B,Project Characteristic Features,Structural system type — mandatory,Structural system type (masonry/reinforced concrete frame/steel frame) should be a mandatory input feature,20,6.15,0.7452,12.12,1.0,True,,,,,consensus_r2
B4,B,Project Characteristic Features,Project location (zone/state) — mandatory,Project location expressed as geopolitical zone or state should be a mandatory input feature,20,6.4,0.5982,9.35,1.0,True,,,,,consensus_r2
B5,B,Project Characteristic Features,Project type (residential/commercial) — mandatory,Project type (purely residential / commercial / mixed-use) should be a mandatory input feature,20,6.25,0.6387,10.22,1.0,True,,,,,consensus_r2
B6,B,Project Characteristic Features,Procurement method as feature,Procurement method (direct labour / traditional / design-and-build) should be included as an input feature,20,4.25,1.7434,41.02,2.25,False,4.65,1.268,27.27,False,excluded
B7,B,Project Characteristic Features,Specification level (standard/medium/luxury),Specification level (standard / medium / luxury finish) should be included as an input feature,20,6.0,0.6489,10.81,0.0,True,,,,,consensus_r2
B8,B,Project Characteristic Features,Number of residential units,Number of residential units or bedrooms should be included as an input feature,20,5.2,1.3219,25.42,1.0,False,5.75,0.7164,12.46,True,consensus_r3
C1,C,ML Model Requirements,Model MAPE <= 15% on validation data,The deployed iNHCES model should achieve a Mean Absolute Percentage Error (MAPE) of <= 15% on held-out validation data,20,6.2,0.8944,14.43,1.0,True,,,,,consensus_r2
C2,C,ML Model Requirements,SHAP explainability for every estimate,The model must provide SHAP-based feature importance explanations for every estimate generated,20,5.8,1.105,19.05,2.0,True,,,,,consensus_r2
C3,C,ML Model Requirements,Prediction intervals (not just point estimates),The model should provide 90% prediction intervals alongside point estimates to communicate uncertainty,20,5.8,1.0052,17.33,1.25,True,,,,,consensus_r2
C4,C,ML Model Requirements,Quarterly automatic model retraining,The model should be automatically retrained at least quarterly as new project cost data becomes available,20,6.1,0.9119,14.95,1.25,True,,,,,consensus_r2
C5,C,ML Model Requirements,Benchmark multiple ML algorithms before deployment,"Multiple ML algorithms (e.g. Ridge, RF, XGBoost, LightGBM, MLP) should be benchmarked before the champion model is selected for deployment",20,5.35,1.04,19.44,1.25,True,,,,,consensus_r2
C6,C,ML Model Requirements,Stacking ensemble as champion if it outperforms,A stacking ensemble should be selected as the champion model if it outperforms individual models on cross-validated MAPE,20,4.85,1.4609,30.12,2.0,False,5.25,1.2085,23.02,False,excluded
D1,D,System Performance Requirements,Estimate generation < 3 seconds,Cost estimate generation (model inference + SHAP calculation) should complete within 3 seconds,20,6.05,0.7592,12.55,1.25,True,,,,,consensus_r2
D2,D,System Performance Requirements,Support >= 50 concurrent users,The system should support at least 50 simultaneous active users without performance degradation,20,5.95,0.887,14.91,2.0,True,,,,,consensus_r2
D3,D,System Performance Requirements,System availability >= 99.5% uptime,The iNHCES web system should maintain at least 99.5% uptime (scheduled maintenance excluded),20,6.3,0.6569,10.43,1.0,True,,,,,consensus_r2
D4,D,System Performance Requirements,Full audit trail for all estimates,"Every estimate should be stored with a full audit trail: user identity, timestamp, all inputs, model version, and outputs",20,6.4,0.6806,10.63,1.0,True,,,,,consensus_r2
D5,D,System Performance Requirements,Auto-generate PDF report for every estimate,The system should automatically generate a professionally formatted PDF cost report for every estimate completed,20,6.05,1.0501,17.36,1.25,True,,,,,consensus_r2
E1,E,Interface Requirements,Web browser access — no installation,The user interface should be fully accessible via standard web browser without any software installation,20,6.4,0.5982,9.35,1.0,True,,,,,consensus_r2
E2,E,Interface Requirements,Input form completable in < 5 minutes,A qualified QS professional should be able to complete the estimate input form in under 5 minutes,20,5.8,0.8335,14.37,1.0,True,,,,,consensus_r2
E3,E,Interface Requirements,Visual cost breakdown chart in results,Estimate results should include a visual cost breakdown chart (elemental or trade-by-trade),20,5.85,0.8751,14.96,0.25,True,,,,,consensus_r2
E4,E,Interface Requirements,Data freshness indicators for macro variables,The interface should display data freshness indicators showing the age of each macroeconomic data source,20,5.2,1.2397,23.84,2.0,False,5.8,0.8944,15.42,True,consensus_r3
E5,E,Interface Requirements,Mobile/tablet usability,The user interface should be fully usable on mobile phones and tablet devices,20,4.75,1.4096,29.67,2.0,False,4.9,1.1192,22.84,False,excluded
E6,E,Interface Requirements,Multiple saved project profiles per user,Each registered user should be able to save and manage multiple project profiles,20,5.25,1.1642,22.17,1.0,False,5.8,0.8335,14.37,True,consensus_r3
F1,F,Data Quality Requirements,Flag macro data > 7 days old,The system should display a warning flag when any macroeconomic data source is more than 7 days old,20,6.0,0.9177,15.29,1.0,True,,,,,consensus_r2
F2,F,Data Quality Requirements,DATA SOURCE confidence classification on estimates,Each estimate should display a DATA SOURCE confidence classification (GREEN/AMBER/RED) indicating data quality,20,5.65,0.9333,16.52,1.0,True,,,,,consensus_r2
F3,F,Data Quality Requirements,Graceful handling of missing/invalid inputs,"Missing or invalid input values should produce clear, user-friendly validation messages — not system crashes",20,6.25,0.6387,10.22,1.0,True,,,,,consensus_r2
F4,F,Data Quality Requirements,Numeric input range validation,All numeric inputs should be validated against plausible real-world range limits before submission,20,5.95,0.8256,13.88,2.0,True,,,,,consensus_r2
G1,G,Reporting Requirements,NIQS cost plan format in reports,Generated PDF reports should follow the NIQS (Nigerian Institute of Quantity Surveyors) cost plan format,20,6.1,0.9679,15.87,2.0,True,,,,,consensus_r2
G2,G,Reporting Requirements,Sensitivity analysis under 3 FX scenarios,"Reports should include a sensitivity analysis showing estimate variation under 3 exchange rate scenarios (base, +15%, -15%)",20,4.95,1.5381,31.07,2.25,False,5.15,1.1821,22.95,False,excluded
G3,G,Reporting Requirements,PDF export of professional quality,"Cost reports should be exportable as professionally formatted, branded PDF documents",20,6.7,0.5712,8.53,0.25,True,,,,,consensus_r2
G4,G,Reporting Requirements,Report format acceptable for tender submission,The report format should be acceptable for submission alongside tender documents in Nigerian public procurement,20,6.05,0.8256,13.65,1.0,True,,,,,consensus_r2
